rank,score,year,tags,query,title,venue,doi,url,type,abstract
712,4,2022,,sim-to-real robotics,Sim-to-Real Learning for Bipedal Locomotion Under Unsensed Dynamic Loads,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9811783,https://doi.org/10.1109/icra46639.2022.9811783,proceedings-article,
713,4,2022,,sim-to-real robotics,Sim-to-Real Learning of Footstep-Constrained Bipedal Dynamic Walking,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9812015,https://doi.org/10.1109/icra46639.2022.9812015,proceedings-article,
714,4,2022,,robot grasping learning,Sim-to-Real Neural Learning with Domain Randomisation for Humanoid Robot Grasping,Lecture Notes in Computer Science Artificial Neural Networks and Machine Learning – ICANN 2022,10.1007/978-3-031-15919-0_29,https://doi.org/10.1007/978-3-031-15919-0_29,book-chapter,"<jats:title>Abstract</jats:title>
                  <jats:p>Collecting large amounts of training data with a real robot to learn visuomotor abilities is time-consuming and limited by expensive robotic hardware. Simulators provide a safe, distributable way to collect data, but due to discrepancies between simulation and reality, learned strategies often do not transfer to the real world. This paper examines whether domain randomisation can increase the real-world performance of a model trained en"
715,4,2022,,robot planning learning,Smooth Path Planning of 6-DOF Robot Based on Reinforcement Learning,2022 4th International Conference on Control and Robotics (ICCR),10.1109/iccr55715.2022.10053875,https://doi.org/10.1109/iccr55715.2022.10053875,proceedings-article,
716,4,2022,,robot tactile perception,Soft Robot Skin With Conformal Adaptability for On-Body Tactile Perception of Collaborative Robots,IEEE Robotics and Automation Letters,10.1109/lra.2022.3155225,https://doi.org/10.1109/lra.2022.3155225,journal-article,
717,4,2022,,contact-rich manipulation,Symbolic State Estimation with Predicates for Contact-Rich Manipulation Tasks,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9811675,https://doi.org/10.1109/icra46639.2022.9811675,proceedings-article,
718,4,2022,,robot tactile perception,Tactile Perception for Surgical Status Recognition in Robot-Assisted Laminectomy,IEEE Transactions on Industrial Electronics,10.1109/tie.2021.3118387,https://doi.org/10.1109/tie.2021.3118387,journal-article,
719,4,2022,,robot planning learning,The Intelligent Path Planning System of Agricultural Robot via Reinforcement Learning,Sensors,10.3390/s22124316,https://doi.org/10.3390/s22124316,journal-article,"<jats:p>Agricultural robots are one of the important means to promote agricultural modernization and improve agricultural efficiency. With the development of artificial intelligence technology and the maturity of Internet of Things (IoT) technology, people put forward higher requirements for the intelligence of robots. Agricultural robots must have intelligent control functions in agricultural scenarios and be able to autonomously decide paths to complete agricultural tasks. In response to this "
720,4,2022,,multimodal robot learning,Toward Proactive Human–Robot Collaborative Assembly: A Multimodal Transfer-Learning-Enabled Action Prediction Approach,IEEE Transactions on Industrial Electronics,10.1109/tie.2021.3105977,https://doi.org/10.1109/tie.2021.3105977,journal-article,
721,4,2022,,sim-to-real robotics,Unsupervised Sim-to-Real Adaptation for Environmental Recognition in Assistive Walking,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/tnsre.2022.3176410,https://doi.org/10.1109/tnsre.2022.3176410,journal-article,
722,4,2022,,robot control learning,Using Deep Reinforcement Learning For Robot Arm Control,Journal of Artificial Intelligence and Capsule Networks,10.36548/jaicn.2022.3.002,https://doi.org/10.36548/jaicn.2022.3.002,journal-article,"<jats:p>Reinforcement learning is a well-proven and powerful algorithm for robotic arm manipulation. There are various applications of this in healthcare, such as instrument assisted surgery and other medical interventions where surgeons cannot find the target successfully. Reinforcement learning is an area of machine learning and artificial intelligence that studies how an agent should take actions in an environment so as to maximize its total expected reward over time. It does this by trying d"
723,4,2022,,contact-rich manipulation,Variable Impedance Skill Learning for Contact-Rich Manipulation,IEEE Robotics and Automation Letters,10.1109/lra.2022.3187276,https://doi.org/10.1109/lra.2022.3187276,journal-article,
724,4,2022,,vision language action robotics,Zero-Shot Temporal Action Detection via Vision-Language Prompting,Lecture Notes in Computer Science Computer Vision – ECCV 2022,10.1007/978-3-031-20062-5_39,https://doi.org/10.1007/978-3-031-20062-5_39,book-chapter,
725,4,2021,,robot tactile perception,"4D-printed untethered self-propelling soft robot with tactile perception: Rolling, racing, and exploring",Matter,10.1016/j.matt.2021.08.014,https://doi.org/10.1016/j.matt.2021.08.014,journal-article,
726,4,2021,,robotics scaling law,A new insight to the scaling-law fluid associated with the Mandelbrot scaling law,Thermal Science,10.2298/tsci2106561y,https://doi.org/10.2298/tsci2106561y,journal-article,"<jats:p>This paper addresses a non-traditional approach for the scaling-law
   fluid-flows described by fractal scaling-law vector calculus associated with
   the Mandelbrot scaling law. Their quantum equations were proposed to control
   the fluid-flows associated with the Mandelbrot scaling law. This gives a
   new insight into the descriptions for the scaling-law behaviors of the
   fluid-flows in the Mandelbrot scaling-law phenomena.</jats:p>"
727,4,2021,,robot reinforcement learning,A robot arm digital twin utilising reinforcement learning,Computers &amp; Graphics,10.1016/j.cag.2021.01.011,https://doi.org/10.1016/j.cag.2021.01.011,journal-article,
728,4,2021,,robot tactile perception,A Triboelectric Tactile Perception Ring for Continuum Robot Collision-Aware,"2021 21st International Conference on Solid-State Sensors, Actuators and Microsystems (Transducers)",10.1109/transducers50396.2021.9495744,https://doi.org/10.1109/transducers50396.2021.9495744,proceedings-article,
729,4,2021,,robot reinforcement learning,Accelerating Robot Reinforcement Learning with Accumulation of Knowledge,Mechanisms and Machine Science Advances in Service and Industrial Robotics,10.1007/978-3-030-75259-0_13,https://doi.org/10.1007/978-3-030-75259-0_13,book-chapter,
730,4,2021,,vision language action robotics,Action Priors for Large Action Spaces in Robotics,International Joint Conference on Autonomous Agents and Multiagent Systems Proceedings of the Third International Joint Conference on Autonomous Agents and Multiagent Systems - Volume 1,10.65109/yaux2734,https://doi.org/10.65109/yaux2734,proceedings-article,"<jats:p>In robotics, it is often not possible to learn useful policies using pure model-free reinforcement learning without significant reward shaping or curriculum learning. As a consequence, many researchers rely on expert demonstrations to guide learning. However, acquiring expert demonstrations can be expensive. This paper proposes an alternative approach where the solutions of previously solved tasks are used to produce an action prior that can facilitate exploration in future tasks. The ac"
731,4,2021,,embodied intelligence scaling,Algorithmic Design for Embodied Intelligence in Synthetic Cells,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2020.3042492,https://doi.org/10.1109/tase.2020.3042492,journal-article,
732,4,2021,,sim-to-real robotics,An architecture for sim-to-real and real-to-sim experimentation in robotic systems,Procedia CIRP,10.1016/j.procir.2021.11.057,https://doi.org/10.1016/j.procir.2021.11.057,journal-article,
733,4,2021,,robot world model,An In-Memory Physics Environment as a World Model for Robot Motion Planning,Advances in Intelligent Systems and Computing Soft Computing: Theories and Applications,10.1007/978-981-16-1740-9_46,https://doi.org/10.1007/978-981-16-1740-9_46,book-chapter,
734,4,2021,,sim-to-real robotics,Auto-Tuned Sim-to-Real Transfer,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48506.2021.9562091,https://doi.org/10.1109/icra48506.2021.9562091,proceedings-article,
735,4,2021,,sim-to-real robotics,Benchmarking Domain Randomisation for Visual Sim-to-Real Transfer,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48506.2021.9561134,https://doi.org/10.1109/icra48506.2021.9561134,proceedings-article,
736,4,2021,,embodied intelligence scaling,Co-design of Embodied Intelligence: A Structured Approach,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros51168.2021.9636513,https://doi.org/10.1109/iros51168.2021.9636513,proceedings-article,
737,4,2021,,robot reinforcement learning,Cooperative Multi-Robot Task Allocation with Reinforcement Learning,Applied Sciences,10.3390/app12010272,https://doi.org/10.3390/app12010272,journal-article,"<jats:p>This paper deals with the concept of multi-robot task allocation, referring to the assignment of multiple robots to tasks such that an objective function is maximized. The performance of existing meta-heuristic methods worsens as the number of robots or tasks increases. To tackle this problem, a novel Markov decision process formulation for multi-robot task allocation is presented for reinforcement learning. The proposed formulation sequentially allocates robots to tasks to minimize the "
